,Age,Yearly brutto salary (without bonus and stocks) in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week"
730,35.0,50000.0,50000.0,0.0
731,28.0,72000.0,62000.0,12.967828418230564
732,36.0,105000.0,,12.967828418230564
733,27.0,49000.0,,12.967828418230564
734,36.0,55000.0,55000.0,20.0
735,38.0,66000.0,60000.0,12.967828418230564
736,28.0,85000.0,,12.967828418230564
737,25.0,85000.0,,12.967828418230564
738,30.0,79000.0,77000.0,12.967828418230564
739,42.0,42000.0,32000.0,0.0
740,30.0,74000.0,72000.0,0.0
741,28.0,67000.0,62000.0,12.967828418230564
742,32.0,74000.0,65000.0,0.0
743,29.0,48000.0,,0.0
744,30.0,57760.0,,12.967828418230564
745,35.0,103000.0,92000.0,12.967828418230564
746,33.0,74000.0,66000.0,8.0
747,34.0,70000.0,,12.967828418230564
748,25.0,86000.0,80000.0,0.0
749,42.0,46000.0,46000.0,30.0
750,25.0,23000.0,,12.967828418230564
751,40.0,135000.0,65000.0,0.0
752,33.0,80000.0,,12.967828418230564
753,39.0,75000.0,75000.0,20.0
754,24.0,50000.0,35000.0,12.967828418230564
755,24.0,29000.0,23000.0,12.967828418230564
756,39.0,78000.0,78000.0,12.967828418230564
757,33.0,75000.0,56000.0,12.967828418230564
758,26.0,60000.0,,0.0
759,29.0,70000.0,,12.967828418230564
760,29.0,55000.0,47000.0,12.967828418230564
761,32.0,36000.0,26000.0,12.967828418230564
762,34.0,56000.0,56000.0,10.0
763,30.0,85000.0,80000.0,12.967828418230564
764,31.0,80000.0,65000.0,12.967828418230564
765,33.0,75000.0,75000.0,12.967828418230564
766,31.0,57000.0,54000.0,0.0
767,36.0,65000.0,65000.0,30.0
768,30.0,80000.0,,12.967828418230564
769,30.0,60000.0,,12.967828418230564
770,27.0,11000.0,,12.967828418230564
771,39.0,87000.0,82000.0,40.0
772,30.0,79000.0,,12.967828418230564
773,32.0,100000.0,,12.967828418230564
774,35.0,54000.0,,4.0
775,34.0,80000.0,76000.0,12.967828418230564
776,26.0,60000.0,60000.0,12.967828418230564
777,29.0,64000.0,,0.0
778,42.0,850000.0,75000.0,12.967828418230564
779,31.0,60000.0,55000.0,12.967828418230564
780,30.0,73000.0,,12.967828418230564
781,33.0,80000.0,70000.0,12.967828418230564
782,28.0,83000.0,75000.0,20.0
783,33.0,42000.0,39000.0,12.967828418230564
784,35.0,68000.0,60000.0,12.967828418230564
785,35.0,100000.0,100000.0,12.967828418230564
786,31.0,80000.0,,12.967828418230564
787,32.0,48000.0,,12.967828418230564
788,38.0,75000.0,73000.0,0.0
789,29.0,85000.0,,12.967828418230564
790,33.0,110000.0,,0.0
791,30.0,70000.0,70000.0,12.967828418230564
792,28.0,75000.0,60000.0,12.967828418230564
793,32.0,90000.0,85000.0,12.967828418230564
794,39.0,85000.0,,12.967828418230564
795,31.0,110000.0,90000.0,12.967828418230564
